Item,respondent_nation,complainant_nation,case_status,year_claim_initiated,year_claim_resolved,means_of_resolution,respondent_type,complainant_type,respondent_nation_economy,complainant_nation_economy,provenience_nation
Roman copy of a major Classical-era Greek sculpture by Alkamenes,United Kingdom,,Object(s) relinquished,2015,2015,Inquiry/Demand,Private: Company,Public: Government,Developed,Developed,
Italian Terracotta Head Depicting Greek God Hades,United States,Italy,Object(s) relinquished,2013,2016,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Italy
Italian Morgantina Silver,United States,Italy,Object(s) relinquished,1993,2006,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Italy
Greek Aidonia Treasure,United States,Greece,Some objects relinquished,1993,1993,Private Negotiation,Private: Individual,Public: Government,Developed,Developed,Greece
Chinese Mummy Of Buddhist Monk Encased In Zhanggong Zushi Statue,Netherlands,China,Object(s) not relinquished,2015,,Litigation,Private: Individual,Public: Government,Developed,In Transition,China
Cypriot Artifacts,Turkey,Cyprus,Object(s) relinquished,1997,2013,Litigation,Private: Individual,Public: Government,In Transition,Developed,Cyprus
Iraqi Palace of Sargon II Antiquities,United States,Iraq,Object(s) relinquished,2008,2015,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,Iraq
Indian Atru Temple Hindu Deity Sculptures,,United Kingdom,Object(s) relinquished,2009,2014,Inquiry/Demand,,Public: Government,,In Transition,India
Indian Khajuraho Parrot Lady Sculpture,Canada,India,Object(s) relinquished,2014,2017,Inquiry/Demand,Public: Institution,Public: Government,Developed,In Transition,India
Chinese Statue Of Buddhist Goddess Guanyin,Australia,China,Object(s) relinquished,2013,2015,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,China
Chinese Figurines From Tomb Of Xi'an Empress Dou,United States,China,Object(s) relinquished,2002,2003,Inquiry/Demand,Private: Company,Public: Government,Developed,In Transition,China
Yemen Dat-Hamin Stele,,United States,Object(s) relinquished,2003,2004,Sua sponte donation,,Private: Company,,Developed,Yemen
Italian Terracina Female Marble Statue Torso,United States,Italy,Object(s) relinquished,2010,2010,,Private: Company,Public: Government,Developed,Developed,Italy
Italian Lysippan Zeus Statue,United States,Italy,Object(s) relinquished,2010,2010,,Private: Company,Public: Government,Developed,Developed,Italy
Italian Artemis Marble Statue Torso,United States,Italy,,2017,,,Public: Government,Public: Government,Developed,Developed,Italy
Bolivian Sacred Textiles Of Coroma,United States,Bolivia,Some objects relinquished,1988,1992,Litigation,Private: Individual,Public: Government,Developed,In Transition,Bolivia
"5,361 Italian Ceramics, Statues And Frescoes",Switzerland,Italy,Object(s) relinquished,2015,2015,Inquiry/Demand,Private: Individual,Public: Government,Developed,Developed,Italy
Ancient Greek Coins,Greece,Germany,Object(s) relinquished,2011,2015,Sua sponte donation,Private: Individual,Public: Government,Developed,Developed,
17th Century Italian Books,United States,Italy,Object(s) relinquished,2015,2015,Inquiry/Demand,Private: Individual,Public: Government,Developed,Developed,Italy
Italian Cannon,United States,Italy,Object(s) relinquished,2015,2015,Inquiry/Demand,,Public: Government,Developed,Developed,Italy
Ethiopian Manuscripts,United Kingdom,Ethiopia,Object(s) not relinquished,2004,,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developed,Ethiopia
Tur-Abdin Syrian Orthodox Bible,,Turkey,Object(s) relinquished,2009,2009,,,Public: Government,,In Transition,Turkey
Benin Statue Of Ibis Bird And Monarch's Bell,United Kingdom,Nigeria,Object(s) relinquished,2013,2013,Sua sponte donation,Private: Individual,Public: Government,Developed,In Transition,Benin
Cambodian Angkor Watt Architectural Features,United States,Cambodia,Object(s) relinquished,2010,2010,Sua sponte donation,Private: Individual,Public: Government,Developed,In Transition,Cambodia
11 Iraqi Cylinder Seals,Saudi Arabia,Iraq,Object(s) relinquished,2003,2008,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,Iraq
Egyptian Nazlet Khater Axe,Belgium,Egypt,Object(s) relinquished,1980,2017,Inquiry/Demand,Public: Institution,Public: Government,Developed,In Transition,Egypt
"Urartu Persian, Sumerian And Assyrian Antiquities",Hungary,Armenia,,2017,,Sua sponte donation,Public: Government,Public: Government,In Transition,In Transition,Armenia
Iraqi Neo-Assyrian Gold Earrings,United States,Iraq,Object(s) relinquished,2001,2010,Inquiry/Demand,Private: Company,Public: Government,Developed,In Transition,Iraq
Iraqi Entemena Of Lagash Headless Statue,United States,Iraq,Object(s) relinquished,2001,2008,Sua sponte donation,Public: Government,Public: Government,,In Transition,Iraq
671 Iraqi Antiquities,United States,Iraq,Object(s) relinquished,2003,2008,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,Iraq
Iraqi Sumerian Cone Figurines,United States,Iraq,Object(s) relinquished,2003,2008,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,Iraq
Iraqi Sumerian Peg Figurine,United States,Iraq,Object(s) relinquished,2001,2008,Sua sponte donation,Private: Company,Public: Government,Developed,In Transition,Syria
Cambodian Koh Ker Statue Of Hanuman,United States,Cambodia,Object(s) relinquished,1970,2015,Private Negotiation,Public: Government,Public: Government,Developed,Developing,Cambodia
Egyptian Karnak Temple Luxor Egyptian Pillar Fragment,United Kingdom,Egypt,Object(s) relinquished,2014,2015,Inquiry/Demand,Private: Individual,Public: Government,Developed,In Transition,Egypt
Egyptian Behbeit El-Hagar Temple Reliefs,United States,Egypt,Object(s) relinquished,2002,2004,Inquiry/Demand,Private: Company,Public: Government,Developed,In Transition,Egypt
Chinese Beijing Summer Palace Bronze Rabbit And Rat Heads,France,China,Object(s) relinquished,1990 (approximate),2013,Inquiry/Demand,Private: Individual,Public: Government,Developed,In Transition,China
Bolivian Coroma Textiles,Canada,Bolivia,Some objects relinquished,1988,1993,Litigation,Private: Individual,Public: Government,Developed,In Transition,Bolivia
Mexican Aubin Tonalamatl Codex,Mexico,France,Object(s) not relinquished,1992,2009,Inquiry/Demand,Public: Government,Public: Government,In Transition,Developed,Mexico
Portraits of Hans Tucher and Felicitas Tucher,United States,Germany,Object(s) relinquished,1969,1982,Litigation,Private: Individual,Public: Government,Developed,Developed,Germany
"3,800 Iraqi Ancient Artifacts",United States,Iraq,Object(s) relinquished,2016 (approximate),2018,Sua sponte donation,Private: Company,Public: Government,Developed,In Transition,Iraq
Egyptian Stele Dedicated To Pa-di-Sena Of Temple Of Hathor,United States,Egypt,Object(s) relinquished,2019,2020,Action by Respondent's Govt.,Private: Institution,Public: Government,Developed,In Transition,Egypt
Egyptian Gilded Coffin Of Nedjemankh,United States,Egypt,Object(s) relinquished,2019,2019,Action by Respondent's Govt.,Private: Institution,Public: Government,Developed,In Transition,Egypt
Chinese Old Sumer Palace Beijing Tiger Ying Bronze Vessel,United Kingdom,China,Object(s) not relinquished,2018,,,Private: Institution,Public: Government,Developed,In Transition,China
Roman Marble Sculpture,United States,Italy,Object(s) relinquished,2008,2012,Litigation,Private: Institution,Public: Government,Developed,Developed,Italy
Yuanmingyuan Bronze Horse Head,China,China,Object(s) relinquished,2007,2007,Private Negotiation,Private: Company,Public: Government,Developed,In Transition,China
"4,000 Year Old Iraqi Mesopotamian Cylinder Seals",United States,Iraq,Object(s) relinquished,2003,,Litigation,Private: Individual,Public: Government,Developed,In Transition,Iraq
Iraqi Stone Frieze,United Kingdom,Iraq,Object(s) relinquished,2003,2003,Action by Respondent's Govt.,Private: Company,Public: Government,Developed,In Transition,Iraq
9 Cyprian Figurines And Pendants,United Kingdom,Cyprus,Object(s) relinquished,1974,1976,Action by Respondent's Govt.,Private: Company,Private: Individual,Developed,Developed,Cyprus
"98 Cyprian Antiquities, Icons And Wood Chests",Austria,Cyprus,Object(s) relinquished,1979,1979,Action by Complainant's Govt.,Private: Individual,Public: Government,Developed,Developed,Cyprus
20 Cyprian Antiquities,United States,Cyprus,Object(s) relinquished,1983,1983,Sua sponte donation,Public: Institution,Public: Government,Developed,In Transition,Cyprus
Cypriot Icon Of St. John The Baptist,United Kingdom,Cyprus,Object(s) relinquished,1991,1991,Inquiry/Demand,Private: Institution,Public: Institution,Developed,In Transition,Cyprus
4 Cypriot Icons From Antiphonitis Church,Netherlands,Cyprus,Object(s) relinquished,1976,1995,Sua sponte donation,Private: Individual,Public: Institution,Developed,In Transition,Cyprus
Nepalese Eight-Armed Stele Of Lakshmi-Narayana,United States,Nepal,Object(s) relinquished,1984,2021,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developing,Nepal
French Autograph Manuscript (120 Days of Sodom) of Marquis De Sade,Switzerland,France,Object(s) relinquished,1990 (approximate),Resolved,Private Negotiation,Private: Individual,Private: Individual,Developed,Developed,France
Ghanian Asante Gold Artifacts In Wallace Collection,United Kingdom,Ghana,Object(s) not relinquished,1974,2018 (approximate),Inquiry/Demand,Private: Institution,Public: Government,Developed,Developing,Ghana
Guatemalan Rio Azul Funerary Mask,Spain,Guatemala,Unresolved,2001,,,Public: Government,Public: Government,Developed,In Transition,Guatemala
9 Greek And Italian Antiquities Owned By Shelby White,United States,,Object(s) relinquished,,2008,Private Negotiation,Private: Individual,Public: Government,Developed,Developed,Italy
18 Turkish Antiquities In The Norbert Schimmel Collection,United States,Turkey,Unresolved,2012,,,Private: Institution,Public: Government,Developed,,
Turkish Hittite Empire Sphinx,Germany,Turkey,Object(s) relinquished,1917 (approximate),2011,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developing,Turkey
67 Peruvian Art Objects From The Barbier-Mueller Collection,France,Peru,Some objects relinquished,2013,2013,Action by Complainant's Govt.,Private: Institution,Public: Government,Developed,Developing,Peru
Easter Island Statue (Moai),United Kingdom,Chile,Unresolved,2018,,,Public: Institution,Public: Government,Developed,Developing,Chile
"2,607 Ancient Greek Coins",Germany,Greece,Object(s) relinquished,2011,2015,Action by Complainant's Govt.,Public: Government,Public: Government,Developed,Developed,Greece
7 Guatemalan Carved Classic Maya Tablets,United States,Guatemala,Object(s) relinquished,2016,2016,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developing,Guatemala
300 Cyprian Antiquities,Germany,Cyprus,Object(s) relinquished,1997,2013,Litigation,Private: Individual,Public: Government,Developed,Developed,Cyprus
10 Classical Italian Antiquities From Shelby White Collection,United States,Italy,Object(s) relinquished,2006,2008,Private Negotiation,Private: Individual,Public: Government,Developed,Developed,Italy
Cambodian Hanuman Statue,United States,Cambodia,Object(s) relinquished,2015,2015,Sua sponte donation,Public: Institution,Private: Institution,Developed,Developing,Cambodia
4 Cambodian Antiquities,United States,Cambodia,Object(s) relinquished,2021,,Sua sponte donation,Public: Institution,Public: Government,Developed,Developing,Cambodia
Indigenous Australian Bark Art- Shield,United Kingdom,Australia,Unresolved,2015,,,Public: Institution,Public: Government,Developed,Developed,Australia
Indonesian Gold Inlaid Dagger,Netherlands,Indonesia,Object(s) relinquished,1975,2020,Action by Respondent's Govt.,Public: Institution,Public: Government,Developed,,Indonesia
Peruvian Jewelry From Moche Civilization Of Sipán,United States,Peru,Some objects relinquished,1994,1996,Litigation,Private: Individual,Public: Government,Developed,Developing,Peru
Ancient Guatemalan Artifacts,United States,Guatemala,Object(s) relinquished,1990,1993,Litigation,Private: Individual,Public: Government,Developed,Developing,Guatemala
24 Pieces Of Turkish Jewelry,United States,Turkey,Object(s) relinquished,2011,2012,Inquiry/Demand,Private: Institution,Public: Government,Developed,Developing,Turkey
33 Guatemalan Maya Artifacts,Germany,Guatemala,Object(s) relinquished,,2022,Private Negotiation,Private: Individual,Public: Institution,Developed,Developing,Guatemala
Nigerian Carved Ivory Tusk And 2 Nok Figurines,United States,Nigeria,Object(s) relinquished,,,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developing,Nigeria
Indigenous Teikweidi Totem Pole,United States,United States Tribal Nations,Object(s) relinquished,1999,2001,Inquiry/Demand,Private: Institution,Public: Government,Developed,Developed,United States Tribal Nations
65 Iraqi Antiquities,United States,Iraq,Object(s) relinquished,2008,2015,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developing,Iraq
Palestinian Carved Cosmetic Spoon,United States,Palestine,Object(s) relinquished,2021,2023,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developing,Palestine
16th Century Mexican Manuscripts And Small Group Of Mexican Archaeological Artifacts,United States,Mexico,Object(s) relinquished,2020,2021,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Institution,Developed,Developing,Mexico
12 Indigenous Wampum Belts,United States,United States Tribal Nations,Object(s) relinquished,,1989,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,United States Tribal Nations
18 Iranian Vessels,United Kingdom,Iran,Object(s) relinquished,2006,2011,Litigation,Private: Institution,Public: Government,Developed,Developing,Iran
Chinese Bronze Animal Heads From Yuanmingyuan Park,France,China,Object(s) relinquished,2008,2013,Sua sponte donation,Private: Institution,Public: Institution,Developed,Developed,China
Polish Jean-Antoine Houdon Bust Of Diana,Austria,Poland,Object(s) relinquished,,2015,Private Negotiation,Private: Individual,Public: Government,Developed,Developed,Poland
Italian Bronze Statue Of A Victorious Youth,United States,Italy,Object(s) not relinquished,1996,1997,Litigation,Private: Institution,Public: Government,Developed,Developed,Italy
Group Of Cambodian (Khmer) Artifacts Including Deities And Buddha Images,Thailand,Cambodia,Some objects relinquished,2014,2015,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developing,Developing,Cambodia
7 Cambodian Artifacts,Thailand,Cambodia,Object(s) relinquished,2009,2009,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developing,Developing,Cambodia
"4,858 Ecuadorian Ancient Artifacts",Italy,Ecuador,Object(s) relinquished,2014,2014,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developed,Developing,Ecuador
Italian Pompeii Wall Panel Fresco,United States,Italy,Object(s) relinquished,1997,2009,Coordinated action by Complainant &amp; Respondent Governments,Private: Institution,Public: Government,Developed,Developed,Italy
"1,600 Italian Artifacts",United States,Italy,Object(s) relinquished,2007,2009,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Government,Developed,Developed,Italy
13 Roman And Greek Antiquities,United States,Italy,Object(s) relinquished,2006,2006,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Italy
3 Ancient Mexican Artifacts Including A Clay Pot And 2 Ceramic Human Faces,Italy,Mexico,Object(s) relinquished,2021,2021,,Public: Government,Public: Government,Developed,Developing,Mexico
Greek Illuminated Byzantine Era Manuscripts,United States,Greece,Unresolved,2015,,,Private: Institution,Public: Government,Developed,Developed,Greece
Russian Paintings By Kazimir Malewicz,Netherlands,Russia,Some objects relinquished,1996,2007,Private Negotiation,Private: Institution,Private: Individual,Developed,,Russia
Greek Corinthian Bronze Horse,United States,Greece,Object(s) not relinquished,2018,2020,Litigation,Private: Company,Public: Government,Developed,Developed,Greece
8 Ancient Greco-Roman Objects,United States,Italy,Some objects relinquished,2004,2007,Inquiry/Demand,Private: Institution,Public: Government,Developed,Developed,Italy
Ancient Roman Marble Funerary Relief Of Aphthonetus,United States,Italy,Object(s) relinquished,2001,2002,Sua sponte donation,Private: Institution,Public: Government,Developed,Developed,Italy
2 Italian Archaic Acrolith Heads Of Demeter And Kore,United States,Italy,Object(s) relinquished,2002,2008,Coordinated action by Complainant &amp; Respondent Governments,Private: Institution,Public: Government,Developed,Developed,Italy
"25,000 3rd Century Ecuadorian Antiquities",Italy,Ecuador,Object(s) relinquished,,1982,Litigation,Private: Individual,Public: Government,Developed,Developing,Ecuador
800 Ancient Ecuadorian Artifacts,United States,Ecuador,Object(s) relinquished,1982,1982,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developing,Ecuador
8 Etruscan And Roman Artifacts,United States,Italy,Object(s) relinquished,2007,2007,Inquiry/Demand,Private: Individual,Public: Government,Developed,Developed,Italy
9th Century Greek New Testament,United States,Greece,Object(s) relinquished,2016,2016,Inquiry/Demand,Private: Institution,Private: Institution,Developed,Developed,Greece
"13 Greek, Corinthian, Apulian, Etruscan Antiquities And A Processional Cross (Siena)",United States,Italy,Object(s) relinquished,2006,2008,Private Negotiation,Private: Institution,Public: Institution,Developed,Developed,Italy
12 Prehistoric Thai Artifacts,United States,Thailand,Object(s) relinquished,,2018,Private Negotiation,Private: Individual,Public: Government,Developed,Developing,Thailand
554 Ancient Thai Antiquities,United States,Thailand,Object(s) relinquished,2008,2014,Coordinated action by Complainant &amp; Respondent Governments,Private: Institution,Public: Government,Developed,Developing,Thailand
337 Ancient Thai Antiquities,United States,Thailand,Object(s) relinquished,2008,2015,Litigation,Private: Individual,Public: Government,Developed,Developing,Thailand
68 Ancient Thai Antiquities,United States,Thailand,Object(s) relinquished,2008,2015,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developing,Thailand
23 Turkish And Italian Artifacts,United States,Turkey,Object(s) relinquished,2021,2022,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developing,Turkey
Egyptian Wall Relief,United Kingdom,Egypt,Object(s) relinquished,,2015,Sua sponte donation,Private: Individual,Public: Government,Developed,Developing,Egypt
Greek Icon Depicting Saint Spyridon And Saint Nicholas,Russia,Greece,Object(s) relinquished,,2015,Sua sponte donation,Public: Government,Public: Government,In Transition,Developed,Greece
77 Yemeni Artifacts,United States,Yemen,Object(s) relinquished,2012,2023,Litigation,Private: Individual,Public: Government,Developed,Developing,Yemen
Egyptian Rosetta Stone,United Kingdom,Egypt,Unresolved,,,,Public: Institution,Public: Government,Developed,Developing,Egypt
"Etruscan Ceremonial Vessel, Villanovan And Etruscan Blackware And Impasto Ware",United States,Italy,Object(s) relinquished,1996,1997,Litigation,Private: Institution,Public: Government,Developed,Developed,Italy
Iraqi Gilgamesh Dream Tablet,United States,Iraq,Object(s) relinquished,2019,2021,Action by Respondent's Govt.,Private: Institution,Public: Government,Developed,Developing,Iraq
Italian Statue Of Hercules,Switzerland,Italy,,2018,,,Private: Institution,Public: Government,Developed,Developed,
"Italian Renaissance Era Painting By Lelio Orsi, ""Leda e il Cigno""",United States,Italy,Object(s) relinquished,2008,2012,Litigation,Private: Individual,Public: Government,Developed,Developed,
29 Benin Bronze Artifacts,United States,Nigeria,Object(s) relinquished,,2022,Private Negotiation,Public: Institution,Public: Government,Developed,Developing,Benin
Egyptian Beard Remnants Of The Great Sphinx Of Giza,United Kingdom,Egypt,Object(s) not relinquished,1981,1982 (approximate),Inquiry/Demand,Public: Institution,Public: Government,Developed,Developing,Egypt
3 Lebanese Marble Statues,United States,Lebanon,Object(s) relinquished,2016 (approximate),2017,Action by Respondent's Govt.,Public: Government,Public: Government,Developed,Developing,Lebanon
118 Iranian Jiroft Artifacts,United Kingdom,Iran,Object(s) relinquished,2004,2005,Action by Respondent's Govt.,Public: Government,Public: Government,Developed,Developing,Iran
21 Italian Antiques,United States,Italy,Object(s) relinquished,2017,2022,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developed,Italy
6 Egyptian Antiques,United States,Egypt,Object(s) relinquished,2017,2022,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developing,Egypt
Nepalese Stone Statue And Wooden Strut,United States,Nepal,Object(s) relinquished,,2022,Coordinated action by Complainant &amp; Respondent Governments,Public: Institution,Public: Government,Developed,Developing,Nepal
Nepalese Apsara And Torana Wood Sculptures,United States,Nepal,Object(s) relinquished,2021 (approximate),2022,Coordinated action by Complainant &amp; Respondent Governments,Private: Institution,Public: Institution,Developed,Developing,Nepal
3 Italian Objects,United States,Italy,Object(s) relinquished,2004,2005,Inquiry/Demand,Private: Institution,Public: Government,Developed,Developed,Italy
Statue Of Egyptian Goddess Bastet,Canada,Egypt,Object(s) relinquished,2020,2021,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developing,Egypt
Egyptian Clay Funerary Figurine,Canada,Egypt,Object(s) relinquished,,2004,Action by Respondent's Govt.,Public: Government,Public: Government,Developed,Developing,Egypt
Egyptian Marble Sculpture Of A Woman's Head,Canada,Egypt,Object(s) relinquished,,2010,Action by Respondent's Govt.,Public: Government,Public: Government,Developed,Developing,Egypt
2 Egyptian Painted Reliefs And 2 Funerary Masks,Germany,Egypt,Object(s) relinquished,2017,2021,Action by Respondent's Govt.,Public: Government,Public: Government,Developed,Developing,Egypt
34 Ancient Mexican Artifacts,Germany,Mexico,Object(s) relinquished,,2021,Sua sponte donation,Private: Individual,Public: Government,Developed,Developing,Mexico
3 Cambodian Antiquities and 1 Indian Antiquity,United States,United States,Object(s) relinquished,2000,2019,Litigation,Private: Individual,Public: Government,Developed,Developed,Cambodia
Congolese Kakungu Mask,Belgium,Democratic Republic of the Congo,Object(s) relinquished,2022,2022,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developing,Democratic Republic of the Congo
2 16th Century Nigerian Brass Plaques,United States,Nigeria,Object(s) relinquished,,2021,Inquiry/Demand,Private: Institution,Public: Government,Developed,Developing,Nigeria
Indigenous Ponca Tribe Chief Standing Bear’s Pipe Tomahawk,United States,United States Tribal Nations,Object(s) relinquished,2021,2022,Inquiry/Demand,Private: Institution,Private: Individual,Developed,Developing,United States Tribal Nations
26 Benin Artifacts,France,Benin,Object(s) relinquished,2021,2021,Action by Respondent's Govt.,Private: Institution,Public: Government,Developed,Developing,Benin
2 Benin Bronze Artifacts,Germany,Nigeria,Object(s) relinquished,2021 (approximate),2022,Arbitration,Public: Government,Public: Government,Developed,Developing,Benin
Nigerian Brass Head,United States,Nigeria,Object(s) relinquished,,2021,Arbitration,Private: Individual,Public: Government,Developed,Developing,Nigeria
"5,500 Iraqi Antiquities",United States,Iraq,Object(s) relinquished,2017,2017,Litigation,Private: Institution,Public: Government,Developed,Developing,Iraq
Roman Marble Bust Of Drusus The Elder,United States,Germany,Object(s) relinquished,2021,2021,Sua sponte donation,Private: Individual,Public: Government,Developed,Developed,Italy
Sri Lankan Artifacts,Netherlands,Sri Lanka,Unresolved,2020,,Action by Respondent's Govt.,Public: Institution,Public: Government,Developed,Developing,Sri Lanka
590 Egyptian Artifacts Including Polychrome Relief,United States,Egypt,Object(s) relinquished,2020,,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developing,Egypt
Italian Mosaic From Caligula Ship,United States,Italy,Object(s) relinquished,,,Litigation,Private: Individual,Public: Government,Developed,Developed,Italy
"Etruscan ""Pithos With Ulysses""",United States,Italy,Object(s) relinquished,2021 (approximate),2021,Coordinated action by Complainant &amp; Respondent Governments,Private: Institution,Public: Government,Developed,Developed,Italy
96 Greco-Roman Artifacts,United States,Italy,Object(s) relinquished,2021 (approximate),2021,Action by Respondent's Govt.,Private: Institution,Public: Government,Developed,Developed,Italy
13th Century Nepalese Strut With Goddess,Australia,Nepal,Unresolved,2019,,,Public: Government,Public: Government,Developed,Developing,Nepal
Nepalese Sculpture Of Shiva And A Carved Strut,United States,Nepal,Object(s) relinquished,2021,2022,Sua sponte donation,Private: Institution,Public: Government,Developed,Developing,Nepal
Nepalese Statue Of Laxmi-Narayan,United States,Nepal,Object(s) relinquished,2020,2021,Action by Respondent's Govt.,Private: Institution,Public: Government,Developed,Developing,Nepal
2 Nepalese Wooden Carvings,United States,Nepal,Object(s) relinquished,2020,2022,Coordinated action by Complainant &amp; Respondent Governments,Private: Institution,Public: Government,Developed,Developing,Nepal
3 13th Century Italian Choir Book Pages,United States,Italy,Object(s) relinquished,2010,2012,Action by Respondent's Govt.,Private: Individual,Public: Government,Developed,Developed,Italy
2 Italian Ceramic Vessels,United States,Italy,Object(s) relinquished,2009,2012,Action by Respondent's Govt.,Private: Company,Public: Government,Developed,Developed,Italy
"30 Cambodian Antiquities And Sculpture ""Skanda On A Peacock""",United States,Cambodia,Object(s) relinquished,2019,2022,Inquiry/Demand,Public: Government,Public: Government,Developed,Developing,Cambodia
800 Italian Ceramics And Daunian Funerary Stele,Belgium,Italy,Object(s) relinquished,2017,2018,Coordinated action by Complainant &amp; Respondent Governments,Private: Individual,Public: Government,Developed,Developed,Italy
Cambodian Torso Of Rama,United States,Cambodia,Object(s) relinquished,2015,2016,Inquiry/Demand,Private: Institution,Public: Government,Developed,Developing,Cambodia
"2 Cambodian Khmer ""Kneeling Attendants"" Statues",United States,Cambodia,Object(s) relinquished,2012,2013,Inquiry/Demand,Private: Institution,Public: Government,Developed,Developing,Cambodia
343 Panamanian Ceramics,Netherlands,Panama,Object(s) relinquished,2018,2022,Private Negotiation,Public: Institution,Public: Government,Developed,Developing,Panama
223 14th Century Mexican Objects,Netherlands,Mexico,Object(s) relinquished,,2022,Coordinated action by Complainant &amp; Respondent Governments,Public: Government,Public: Institution,Developed,Developing,Mexico
Eikosiphoinissa Manuscript 220 (Ancient Greek Gospel Manuscript),United States,Greece,Object(s) relinquished,2019,2022,Coordinated action by Complainant &amp; Respondent Governments,Private: Institution,Public: Institution,Developed,Developing,Greece
Roman Terracotta Goddess Head,United States,Italy,Object(s) relinquished,,2021,Action by Respondent's Govt.,Private: Institution,Public: Government,Developed,Developed,Italy
Italian Priam Painter Hydria,United States,Italy,Object(s) relinquished,,2023,Inquiry/Demand,Public: Institution,Public: Government,Developed,Developed,Italy
30 Vigango: Kenyan Wooden Statues Of The Mijikenda,United States,Kenya,Object(s) relinquished,2014,2014,Sua sponte donation,Private: Institution,Public: Government,Developed,Developing,Kenya
Filipino Balangiga Bells,United States,The Philippines,Object(s) relinquished,1989,2018,Action by Respondent's Govt.,Public: Government,Public: Government,Developed,Developing,Philippines
Italian Bath Of Bathsheba By Jacopo Zucchi,United States,Italy,Object(s) relinquished,1970,1998,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Italy
Malian Belier Malien,France,Mali,Object(s) relinquished,1996,1998,Private Negotiation,Private: Individual,Public: Government,Developed,Developing,Mali
12th Century Italian Beneventan Missal Manuscripts,United Kingdom,Italy,Object(s) relinquished,1978,2010,Action by Respondent's Govt.,Public: Institution,Public: Government,Developed,Developed,Italy
22 Indian Artifacts,2 or more respondent nations,India,Some objects relinquished,,,,,Public: Government,Developed,Developing,India
"Bulgarian Ancient Coins, Pendants, Brooches, Statues, Spearheads",Bulgaria,United Kingdom,Object(s) relinquished,2020,2020,Litigation,Private: Individual,Public: Government,Developed,Developed,Bulgaria
50 Ancient Mexican Artifacts,2 or more respondent nations,Mexico,Object(s) relinquished,,2022,Inquiry/Demand,Private: Individual,Public: Government,Developed,Developing,Mexico
13 South Asian Antiquities,United States,India,Object(s) relinquished,,2022,Action by Respondent's Govt.,Private: Institution,Public: Government,Developed,Developing,India
"Italian Pottery, Vessels, Jars, Plates, and 192 Pottery Fragments",United States,Italy,Object(s) relinquished,,2021,Coordinated action by Complainant &amp; Respondent Governments,Private: Institution,Public: Government,Developed,Developed,Italy
3 Italian Life Size Terracotta Figures Of Orpheus And The Sirens,United States,Italy,Object(s) relinquished,2021,2022,Coordinated action by Complainant &amp; Respondent Governments,Private: Institution,Public: Government,Developed,Developed,Italy
Sicily Naxos Coin,United States,Italy,Object(s) relinquished,,2023,Inquiry/Demand,Private: Individual,Public: Government,Developed,Developed,Italy
Italian Marble Head Of Emperor Hadrian,United States,Italy,Object(s) relinquished,,2023,Inquiry/Demand,Private: Institution,Public: Government,Developed,Developed,Italy
Korean Buddhist Paintings Of Yeongsanhoesangdo And Siwangdo,United States,Korea,Object(s) relinquished,2015,2020,Action by Respondent's Govt.,Public: Institution,Private: Institution,Developed,Developed,South Korea
Armenian Canon Tables Of The Zeyt’un Gospels,United States,Armenia,Object(s) relinquished,2010,2015,Private Negotiation,Public: Institution,Private: Institution,Developed,Developed,Armenia
Japanese Shiwanga Bell,Switzerland,Japan,Object(s) relinquished,,1929,Action by Respondent's Govt.,Public: Government,Public: Government,Developed,Developed,Japan
Indigenous G’psgolox Totem Pole,Sweden,Canadian Tribal Nation,Object(s) relinquished,1991,2006,Arbitration,Public: Institution,Private: Institution,Developed,Developed,Canadian Tribal Nation
