Item,respondent_nation,complainant_nation,case_status,year_claim_initiated,year_claim_resolved,means_of_resolution,respondent_type,complainant_type,respondent_nation_economy,complainant_nation_economy,provenience_nation
Mexican Manuscript With Autograph Signature Of Junipero Serra,United States,Mexico,Object(s) relinquished,1996,1999,Litigation,Private: Individual,Public: Government,Developed,In Transition,Mexico
Bolivian Paintings From Alto Peru,Bolivia,Peru,Object(s) not relinquished,2008,2009,Inquiry/Demand,Private: Institution,Public: Government,In Transition,In Transition,Bolivia
Egyptian Sarcophagus,United States,Egypt,Object(s) not relinquished,2009,2009,Inquiry/Demand,Private: Individual,Public: Government,Developed,In Transition,Egypt
German Ceremonial Helmet And Cuirass Of Prince Elector Johann Georg II Of Saxony,United States,Germany,Object(s) not relinquished,1995,2000,Inquiry/Demand,Private: Institution,Public: Government,Developed,Developed,Germany
"Crustumerian, Etruscan And Villanovan Pottery",United States,Italy,Object(s) not relinquished,1996,1997,Litigation,Public: Government,Public: Government,Developed,Developed,Italy
Etruscan Black-Figured Kalpis,United States,Italy,Object(s) not relinquished,2012,2013,Litigation,Public: Government,Public: Government,Developed,Developed,Italy
Ancient Egyptian Funerary Stone And Wood Carvings,,Egypt,Object(s) not relinquished,2013,2013,Litigation,Public: Government,Public: Government,Developed,In Transition,Egypt
3 Trojan War And Mithra Greek Antiquities,United States,Italy,Object(s) relinquished,1999,1999,Sua sponte donation,Private: Institution,Public: Government,Developed,Developed,Greece
Roman Sculptural Relief Of Aphthonetus,United States,Italy,Object(s) relinquished,2002,2002,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,Italy
Greek Gold Funerary Wreath,United States,Greece,Object(s) relinquished,1996,2006,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Greece
Grek Kore Parian Marble Statue,United States,Greece,Object(s) relinquished,1996,2006,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Greece
Greek Marble Relief Of Women Offering To Goddess,United States,Greece,Object(s) relinquished,1996,2006,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Greece
Greek Black Stele/Tombstone Of Warrior Athanias,United States,Greece,Object(s) relinquished,1996,2006,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Greece
Italian Bronze Tripod,United States,Italy,Object(s) relinquished,1996,1996,Private Negotiation,Private: Institution,Public: Government,Developed,Developed,Italy
Japanese Heart Sutra Manuscript,South Korea,Japan,Object(s) not relinquished,2011,,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,Japan
Japanese Kakurinji Amida Buddha Painting,South Korea,Japan,Object(s) not relinquished,2002,,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,Japan
Egyptian Corner From A Naos Of Amenemhat I,United States,Egypt,Object(s) relinquished,2009,2009,Sua sponte donation,Private: Institution,Public: Government,Developed,In Transition,Egypt
Tintoretto Painting of the Holy Family with Saint Catherine and Honored Donor,Israel,Germany,Object(s) not relinquished,1979,1982,Litigation,Private: Individual,Public: Government,Developed,Developed,
Egyptian Ma'adi Vessel,United Kingdom,Egypt,Object(s) relinquished,2002,2009,Inquiry/Demand,Private: Company,Public: Government,Developed,In Transition,Egypt
79 Egyptian Ma'adi Vessels,United States,Egypt,Object(s) relinquished,2002,2008,Inquiry/Demand,Private: Individual,Public: Government,Developed,In Transition,Egypt
8 Egyptian Ma'adi Vessels,Switzerland,Egypt,Object(s) relinquished,2002,2009,Sua sponte donation,Private: Individual,Public: Government,Developed,In Transition,Egypt
Egyptian Mutirdis Tomb Relief Fragment,United Kingdom,Egypt,Object(s) relinquished,2008,2008,Inquiry/Demand,Private: Company,Public: Government,Developed,In Transition,Egypt
Egyptian Ma'adi Vessels,United Kingdom,Egypt,Object(s) relinquished,2002,2005,Inquiry/Demand,Private: Company,Public: Government,Developed,In Transition,Egypt
370 Egyptian Ma'adi Vessels,,Egypt,Some objects relinquished,2002,2009,Inquiry/Demand,,Public: Government,,In Transition,Egypt
Egyptian Stone Head Of Queen Mutnodjmet,,Egypt,Object(s) not relinquished,1981,,Inquiry/Demand,,Public: Government,,In Transition,
Egyptian Royal Duck Vessel Of Amenemhat III,United Kingdom,Egypt,Object(s) relinquished,2006,2007,Inquiry/Demand,Private: Company,Public: Government,Developed,In Transition,Egypt
Egyptian Colossal Eye Of Amenhotep III,Germany,Egypt,Object(s) relinquished,1975,2008,Private Negotiation,Private: Individual,Public: Government,Developed,In Transition,Egypt
Egyptian Shabti Of Hener,,Egypt,Object(s) relinquished,2006,2008,Sua sponte donation,Private: Individual,Public: Government,Developed,In Transition,Egypt
Nigerian Nok Terracotta Janus Head,United Kingdom,Netherlands,Object(s) not relinquished,2003,,Inquiry/Demand,Private: Company,Private: Individual,Developed,Developed,Nigeria
Kenyan Vigango Of Mwakiru,United States,Kenya,Object(s) relinquished,2006,2007,Inquiry/Demand,Public: Institution,Public: Institution,Developed,In Transition,Kenya
Egyptian Statue Of Sekhemka,United Kingdom,Egypt,Object(s) not relinquished,2014,2014,Inquiry/Demand,Public: Institution,Public: Government,Developed,In Transition,Egypt
Egyptian Limestone Block From The Tomb Of Imep-Hor,Spain,Egypt,Object(s) not relinquished,2009,,Inquiry/Demand,Private: Company,Public: Government,Developed,In Transition,Egypt
Egyptian Dyad Of Horemheb And His Wife,,Egypt,Object(s) not relinquished,1975,,Inquiry/Demand,,Public: Government,,In Transition,Egypt
Egyptian Gold Greco-Roman Bracelets,,Egypt,Object(s) not relinquished,1975,,Inquiry/Demand,,Public: Government,,In Transition,Egypt
Egyptian Royal Duck Vessel Of Amenemhat III,United States,Egypt,Object(s) relinquished,2006,2007,Inquiry/Demand,Private: Company,Public: Government,Developed,In Transition,Egypt
Benin Bronze Decorative Plaque,Austria,Nigeria,Object(s) not relinquished,2007,,Inquiry/Demand,Public: Institution,Public: Government,Developed,In Transition,Benin
Nigerian Statue Of Ibis Bird And Monarch's Bell,United Kingdom,Nigeria,Object(s) relinquished,2013,2013,Sua sponte donation,Private: Individual,Public: Government,Developed,In Transition,Nigeria
4 Romanian Dacian Gold Bracelets,United States,Romania,Object(s) relinquished,1999,2006,Private Negotiation,Private: Individual,Public: Government,Developed,In Transition,Romania
24 Romanian Dacian Gold Bracelets,2 or more respondent nations,Romania,Object(s) relinquished,1999,,Action by Complainant's Govt.,Public: Government,Public: Government,Developed,Developed,Romania
3 Romanian Dacian Gold Bracelet,United States,Romania,Object(s) relinquished,1999,2006,Private Negotiation,Private: Individual,Public: Government,Developed,In Transition,Romania
3 Romanian Dacian Gold Bracelets II,Switzerland,Romania,Object(s) relinquished,1999,2007,Private Negotiation,Private: Individual,Public: Government,Developed,In Transition,Romania
3 Romanian Dacian Gold Bracelets III,United States,Romania,Object(s) relinquished,1999,2008,Private Negotiation,Public: Government,Public: Government,Developed,In Transition,Romania
Sarmizeget Collection Of Romanian Artifacts,Germany,Romania,Object(s) relinquished,1999,2011,Private Negotiation,Private: Individual,Public: Government,Developed,In Transition,Romania
Italian Hades Terracotta Sculpture,United States,Italy,Object(s) relinquished,2013,2013,Sua sponte donation,Private: Institution,Public: Government,Developed,Developed,Italy
Mexican Colonial Era Manuscript,United States,Mexico,Object(s) relinquished,1996,1999,Litigation,Private: Individual,Public: Institution,Developed,In Transition,
"200 Congolese Works Of Art And 1,000 Ethnographic Items",Belgium,Congo (Kinshasa),Object(s) relinquished,1977,1977,Private Negotiation,Public: Institution,Public: Government,Developed,In Transition,Congo(Kinshasa)
8 Nigerian Bronze And Terracotta Objects,United States,Nigeria,Object(s) relinquished,2013,2014,Inquiry/Demand,Private: Institution,Public: Government,Developed,In Transition,Nigeria
Maori Montunui Wood Panels,Switzerland,New Zealand,Object(s) relinquished,1978,2014,Private Negotiation,Private: Individual,Public: Government,Developed,Developed,New Zealand
New Zealand Ngati Tarawhai Pou Tokomanawa,Italy,New Zealand,Object(s) relinquished,2012,2012,Private Negotiation,Public: Government,Public: Government,Developed,Developed,New Zealand
Royal Rickshaw Of Vietnamese King Thanh Thai,France,Vietnam,Object(s) not relinquished,2014,2014,Private Negotiation,Public: Government,Public: Government,Developed,In Transition,Vietnam
Royal Bed Of Vietnamese King Tanh Thai,France,Vietnam,Object(s) not relinquished,2014,2014,Private Negotiation,Public: Government,Public: Government,Developed,In Transition,Vietnam
Iraqi Headless Stone Statue Of King Entemena Lagash,United States,Iraq,Object(s) relinquished,2003,2006,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,Iraq
Chinese Tyndareus Memorial Stone,United Kingdom,China,Object(s) not relinquished,1994,,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,China
Chinese Bronze Spirit Tree Candelabra From Tomb Along Yangtzee,United States,China,Object(s) not relinquished,1998,,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,China
Indian Koh-i-Noor Diamond,United Kingdom,India,Object(s) not relinquished,1947,2016,Inquiry/Demand,Public: Government,Public: Government,Developed,Developing,India
8 Russian Imperial And Military Documents,United States,Russia,Object(s) relinquished,2010,2013,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,Russia
19th Century Afghan Ammunition Speed Loader,United States,Afghanistan,Object(s) relinquished,2013,2013,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,Afghanistan
Russian Pendant Of Peter The Great,United States,Russia,Object(s) relinquished,2009,2010,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,
28 Historical Russian Documents,United States,Russia,Object(s) relinquished,1994,2016,Inquiry/Demand,Private: Company,Public: Government,Developed,Developed,Russia
Egyptian Bust Of Nefertiti,Germany,Egypt,Object(s) not relinquished,1999,,Inquiry/Demand,Public: Government,Public: Government,Developed,In Transition,Egypt
"7,400 Turkish Bogazkoy Cuneiform Tablets",Germany,Turkey,Object(s) relinquished,1986,1987,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,Turkey
Chinese Head Of Akshobhya Buddha,Taiwan,China,Object(s) not relinquished,2002,,Sua sponte donation,Public: Government,Public: Government,Developed,In Transition,China
Vietnamese Ceramics,Japan,Vietnam,Object(s) relinquished,1997,1997,Litigation,Private: Individual,Public: Government,Developed,In Transition,Vietnam
Nepalese Monastary Pangboche Hand,New Zealand,Nepal,Object(s) not relinquished,2010,,Inquiry/Demand,Private: Individual,Public: Government,Developed,In Transition,Nepal
Turkish Bogazkoy Sphinx,Germany,Turkey,Object(s) relinquished,1986,2011,Inquiry/Demand,Public: Government,Public: Government,Developed,Developed,Turkey
145 Romanian Gold Coins,United Kingdom,Romania,Object(s) relinquished,2008,2011,Litigation,Public: Government,Public: Government,Developed,In Transition,Romania
French Turcat-Mery Roadster,United States,France,Object(s) relinquished,2008,2009,Litigation,Public: Government,Public: Government,Developed,Developed,France
Italian Bust Of Saint Innocent,United States,Italy,Object(s) relinquished,2007,2009,Litigation,Public: Government,Public: Government,Developed,Developed,Italy
Cambodian Angkor Watt Stone Penis Of Eavso,Thailand,Cambodia,Object(s) relinquished,2002,2002,Private Negotiation,Public: Government,Public: Government,In Transition,In Transition,Cambodia
95 Cambodian Artifacts From Angkor Watt,Thailand,Cambodia,Object(s) relinquished,2002,2002,Private Negotiation,Public: Government,Public: Government,In Transition,In Transition,Cambodia
Chinese Yuanmingyuan Bronze Zodiac Pig Head,United States,China,Object(s) relinquished,2003,2003,Sua sponte donation,Private: Company,Public: Government,Developed,In Transition,China
Yuanmingyuan Bronze Horse Head,,China,Object(s) relinquished,2007,2007,Private Negotiation,Private: Company,Public: Government,Developed,In Transition,China
Egyptian Bronze Reliquary Of A Cat,United States,Egypt,Object(s) relinquished,1996,2008,Sua sponte donation,Public: Institution,Public: Government,Developed,In Transition,
173 Cyprian Artifacts,Germany,Cyprus,Object(s) relinquished,1997,2013,Litigation,Public: Government,Public: Institution,Developed,Developed,Cyprus
8 Antique Italian Books,United States,Italy,Object(s) relinquished,2013,2013,Sua sponte donation,Private: Individual,Public: Institution,Developed,Developed,Italy
Kenyan Kikuyu Ivory Carving,,Kenya,Object(s) not relinquished,2007,,Private Negotiation,Private: Individual,Public: Institution,In Transition,In Transition,Kenya
Kenyan Samburu Neck Piece,Canada,Kenya,Object(s) not relinquished,2003,,Inquiry/Demand,Public: Government,Public: Institution,Developed,In Transition,Kenya
South African Artwork Collection,South Africa,South Africa,Object(s) not relinquished,2012,,Inquiry/Demand,Private: Individual,Public: Institution,In Transition,In Transition,South Africa
Cameroonian Afo-A-Kom,United States,Cameroon,Object(s) relinquished,1966,1973,Inquiry/Demand,Private: Individual,Public: Government,Developed,In Transition,Cameroon
Benin Artifacts,United Kingdom,Nigeria,Object(s) not relinquished,2002,,Inquiry/Demand,Public: Government,Public: Institution,Developed,In Transition,Benin
Kenyan Man-Eaters Of Tsavo,United States,Kenya,Object(s) not relinquished,2007,,Inquiry/Demand,Public: Institution,Public: Institution,Developed,In Transition,Kenya
Kenyan Walking Stick And Baton,United Kingdom,Kenya,Object(s) relinquished,2006,2006,Inquiry/Demand,Private: Individual,Private: Individual,Developed,In Transition,Kenya
Benin Regalia Of Oba Ovonramwen,United Kingdom,Nigeria,Object(s) relinquished,1914,1938,Sua sponte donation,Public: Government,Public: Institution,Developed,In Transition,Benin
"2,000 Benin Artifacts",United Kingdom,Nigeria,Object(s) not relinquished,2000,,Inquiry/Demand,Public: Government,Public: Institution,Developed,In Transition,Benin
"Thai Ban Chiang Stone Pots, Beakers And Rollers",United States,Thailand,Object(s) not relinquished,2008,,Inquiry/Demand,Private: Institution,Public: Government,Developed,In Transition,Thailand
"Thai Ban Chiang Stone Jars, Ear Ornaments And Glass",United States,Thailand,Object(s) not relinquished,2008,,Inquiry/Demand,Private: Institution,Public: Government,Developed,In Transition,Thailand
8 Thai Ban Chiang Stone Artifacts,United States,Thailand,Object(s) not relinquished,2008,,Inquiry/Demand,Private: Institution,Public: Government,Developed,In Transition,Thailand
